bloque;indicador;anio;valor;unidad;fuente;url;nota
E. Educación;Locales escolares con los 3 servicios básicos;2021;29.55;%;MINEDU-ESCALE vía CEPLAN-PCM, Información de brechas territoriales (Excel dep/prov/dist);https://www.ceplan.gob.pe/download/218452/;Chota prov. 7,6 %
E. Educación;Primarias con internet;2020;26.1;%;MINEDU-ESCALE vía CEPLAN-PCM, Información de brechas territoriales (Excel dep/prov/dist);https://www.ceplan.gob.pe/download/218452/;"Chota prov. 10,1 %; Perú 40,4 %"
E. Educación;ECE 4.º primaria – lectura 'previo al inicio';2019;13.0;%;MINEDU-UMC vía CEPLAN-PCM, Información de brechas territoriales (Excel dep/prov/dist);https://www.ceplan.gob.pe/download/218452/;"Chota prov. 15 %; Perú 5 %"
E. Educación;Instituciones educativas activas;2019;63;IIEE;GORE Cajamarca, Padrón regional de instituciones educativas (corte 2019-09, datos abiertos);https://www.datosabiertos.gob.pe/sites/default/files/Padron-Instituciones-Educativas-Cajamarca.csv;"incluye IST San Antonio de Padua y CETPRO; 3 secundarias (Lajas, Cadmalca Alto, Llangodén Alto) + Túpac Amaru II (Pampacancha)"
F. Seguridad;Comisarías / efectivos PNP;2021;1 / 14;;MININTER vía CEPLAN-PCM, Información de brechas territoriales (Excel dep/prov/dist);https://www.ceplan.gob.pe/download/218452/;778 habitantes por policía
G. Economía y gestión;Presupuesto municipal total (PIM);2021;15718799.0;S/;MEF vía CEPLAN-PCM, Información de brechas territoriales (Excel dep/prov/dist);https://www.ceplan.gob.pe/download/218452/;"ejecutado 14,101,036 S/; S/ 1444 por habitante"
G. Economía y gestión;Presupuesto de proyectos (PIM) y ejecución;2021;9642041.0;S/;MEF vía CEPLAN-PCM, Información de brechas territoriales (Excel dep/prov/dist);https://www.ceplan.gob.pe/download/218452/;"ejecución 89.1 %; sin ejecutar S/ 1,054,611"
G. Economía y gestión;Empresas registradas (SUNAT);2021;192;;SUNAT vía CEPLAN-PCM, Información de brechas territoriales (Excel dep/prov/dist);https://www.ceplan.gob.pe/download/218452/;"17.6 por 1 000 hab.; contribuyentes 1095"
G. Economía y gestión;Residuos sólidos recolectados;2021;1500.0;kg/día;INEI-RENAMU vía CEPLAN-PCM, Información de brechas territoriales (Excel dep/prov/dist);https://www.ceplan.gob.pe/download/218452/;"a botadero: 1500.0 kg/día (100 %); sin relleno sanitario"
H. Electoral;Electores hábiles;2026;11315;electores;ONPE, EG2026 2.ª vuelta, resultados por mesa (repo oscarzamora/onpe-scraper-2026-2);https://github.com/oscarzamora/onpe-scraper-2026-2;"39 mesas en 5 locales; 8.6 % de los 131,969 electores de la provincia; 3.er distrito con más electores"
H. Electoral;Electores que votan en la capital Lajas;2026;92.3;%;ONPE, EG2026 2.ª vuelta, resultados por mesa (repo oscarzamora/onpe-scraper-2026-2);https://github.com/oscarzamora/onpe-scraper-2026-2;4 locales en el pueblo de Lajas + 1 en Cadmalca Alto
H. Electoral;Participación 2.ª vuelta EG2026;2026;63.6;%;ONPE, EG2026 2.ª vuelta, resultados por mesa (repo oscarzamora/onpe-scraper-2026-2);https://github.com/oscarzamora/onpe-scraper-2026-2;voto válido JP 74.5 %
H. Electoral;ERM 2022 alcaldía distrital – ganador;2022;AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL;;ONPE, ERM2022 resultados por mesa – Municipal Distrital (datos abiertos);https://www.datosabiertos.gob.pe/dataset/resultados-por-mesa-de-sufragio-de-eleccion-municipal-distrital-erm-2022;"42.8 % de válidos; APP 39.2 %; Perú Libre; Podemos; 4 listas; participación 69.8 %; blancos+nulos 15.0 %"
H. Electoral;Listas inscritas ERM 2026 alcaldía distrital;2026;5;listas;JNE, Voto Informado ERM 2026 (registro de listas y candidatos, corte 18-set-2026);https://votoinformado.jne.gob.pe/candidatos;APP, Avanza País, Cajamarca Renace, Somos Perú, Perú Primero — todas INSCRITAS al 18-set-2026
I. GEMSES;Índice de brecha GEMSES (0-100);2026;43;;Cálculo propio: percentiles de 12 brechas entre los 19 distritos de Chota;;MEDIO
I. GEMSES;Demandas prioritarias (top 3 percentiles);2026;Pobreza monetaria (2018) (P87) | Locales escolares en buen estado (2018) (P76) | Desnutrición crónica < 5 años (2021) (P61);;Metodología GEMSES;;
